Type,Xmin,Ymin,Xmax,Ymax,Area
Meningioma,74.0,53.0,82.0,58.0,40.0
Meningioma,39.0,10.0,57.0,25.0,270.0
Meningioma,31.0,15.0,120.0,58.0,3827.0
Meningioma,46.0,68.0,130.0,117.0,4116.0
Metastatic,83.0,78.0,102.0,100.0,418.0
Glioma,45.0,17.0,54.0,32.0,135.0
Meningioma,39.0,7.0,112.0,56.0,3577.0
Metastatic,40.0,17.0,64.0,33.0,384.0
Meningioma,63.0,45.0,84.0,49.0,84.0
Meningioma,79.0,107.0,104.0,120.0,325.0
Glioma,37.0,68.0,46.0,75.0,63.0
Meningioma,0.0,28.0,57.0,88.0,3420.0
Metastatic,34.0,75.0,36.0,77.0,4.0
Meningioma,23.0,0.0,122.0,62.0,6138.0
Meningioma,78.0,98.0,129.0,129.0,1581.0
Glioma,54.0,17.0,87.0,53.0,1188.0
Meningioma,40.0,8.0,101.0,62.0,3294.0
Metastatic,57.0,22.0,84.0,52.0,810.0
Glioma,58.0,88.0,100.0,123.0,1470.0
Meningioma,51.0,85.0,120.0,125.0,2760.0
Metastatic,56.0,89.0,95.0,127.0,1482.0
Meningioma,89.0,87.0,123.0,117.0,1020.0
Glioma,79.0,106.0,108.0,127.0,609.0
Meningioma,48.0,74.0,127.0,124.0,3950.0
Metastatic,77.0,100.0,110.0,127.0,891.0
Glioma,74.0,15.0,98.0,41.0,624.0
Meningioma,37.0,4.0,124.0,59.0,4785.0
Metastatic,72.0,16.0,98.0,44.0,728.0
Glioma,44.0,69.0,87.0,100.0,1333.0
Meningioma,13.0,59.0,100.0,115.0,4872.0
Metastatic,44.0,68.0,86.0,100.0,1344.0
Glioma,127.0,77.0,134.0,89.0,84.0
Meningioma,89.0,66.0,136.0,109.0,2021.0
Metastatic,126.0,67.0,138.0,93.0,312.0
Meningioma,64.0,2.0,136.0,54.0,3744.0
Meningioma,58.0,58.0,73.0,60.0,30.0
Glioma,93.0,18.0,137.0,51.0,1452.0
Meningioma,81.0,10.0,138.0,60.0,2850.0
Metastatic,94.0,17.0,138.0,60.0,1892.0
Glioma,57.0,83.0,100.0,112.0,1247.0
Meningioma,41.0,77.0,117.0,123.0,3496.0
Metastatic,63.0,78.0,92.0,115.0,1073.0
Glioma,100.0,42.0,126.0,63.0,546.0
Meningioma,82.0,33.0,135.0,62.0,1537.0
Metastatic,102.0,43.0,126.0,64.0,504.0
Glioma,35.0,38.0,57.0,67.0,638.0
Meningioma,19.0,2.0,109.0,60.0,5220.0
Metastatic,30.0,30.0,67.0,70.0,1480.0
Glioma,42.0,102.0,78.0,119.0,612.0
Meningioma,27.0,68.0,115.0,124.0,4928.0
Metastatic,41.0,98.0,84.0,122.0,1032.0
Glioma,44.0,68.0,82.0,119.0,1938.0
Meningioma,39.0,66.0,96.0,120.0,3078.0
Glioma,17.0,28.0,27.0,41.0,130.0
Meningioma,3.0,15.0,54.0,51.0,1836.0
Metastatic,17.0,24.0,37.0,47.0,460.0
Meningioma,80.0,40.0,105.0,54.0,350.0
Meningioma,0.0,50.0,54.0,115.0,3510.0
Glioma,79.0,26.0,128.0,51.0,1225.0
Meningioma,75.0,14.0,138.0,57.0,2709.0
Glioma,108.0,67.0,136.0,111.0,1232.0
Meningioma,85.0,66.0,134.0,117.0,2499.0
Glioma,73.0,61.0,104.0,98.0,1147.0
Meningioma,57.0,48.0,116.0,107.0,3481.0
Metastatic,72.0,63.0,106.0,100.0,1258.0
Glioma,70.0,62.0,138.0,111.0,3332.0
Metastatic,99.0,90.0,108.0,95.0,45.0
Glioma,107.0,98.0,121.0,105.0,98.0
Meningioma,91.0,90.0,134.0,108.0,774.0
Metastatic,104.0,94.0,121.0,110.0,272.0
Meningioma,32.0,85.0,65.0,115.0,990.0
Glioma,0.0,76.0,38.0,101.0,950.0
Meningioma,0.0,69.0,40.0,104.0,1400.0
Glioma,66.0,19.0,127.0,74.0,3355.0
Meningioma,47.0,12.0,138.0,78.0,6006.0
Metastatic,62.0,18.0,133.0,75.0,4047.0
Meningioma,71.0,84.0,138.0,130.0,3082.0
Metastatic,104.0,92.0,117.0,110.0,234.0
Meningioma,36.0,35.0,70.0,67.0,1088.0
Glioma,20.0,70.0,67.0,117.0,2209.0
Meningioma,1.0,66.0,75.0,118.0,3848.0
Metastatic,17.0,69.0,70.0,119.0,2650.0
Glioma,52.0,0.0,87.0,20.0,700.0
Meningioma,24.0,1.0,108.0,42.0,3444.0
Metastatic,47.0,0.0,100.0,28.0,1484.0
Glioma,77.0,28.0,102.0,46.0,450.0
Meningioma,54.0,26.0,125.0,63.0,2627.0
Metastatic,77.0,27.0,101.0,47.0,480.0
Glioma,88.0,94.0,100.0,111.0,204.0
Meningioma,73.0,87.0,120.0,119.0,1504.0
Metastatic,81.0,89.0,113.0,117.0,896.0
Meningioma,33.0,86.0,67.0,103.0,578.0
Glioma,0.0,15.0,56.0,57.0,2352.0
Meningioma,0.0,13.0,92.0,90.0,7084.0
Metastatic,0.0,15.0,56.0,54.0,2184.0
Glioma,0.0,56.0,108.0,92.0,3888.0
Meningioma,0.0,57.0,116.0,123.0,7656.0
Glioma,96.0,65.0,134.0,102.0,1406.0
Meningioma,81.0,78.0,138.0,117.0,2223.0
Metastatic,91.0,66.0,138.0,105.0,1833.0
Glioma,51.0,104.0,56.0,111.0,35.0
Meningioma,40.0,98.0,81.0,123.0,1025.0
Metastatic,51.0,106.0,62.0,115.0,99.0
Glioma,35.0,65.0,50.0,80.0,225.0
Meningioma,34.0,65.0,56.0,78.0,286.0
Glioma,3.0,15.0,50.0,60.0,2115.0
Meningioma,0.0,9.0,82.0,91.0,6724.0
Metastatic,5.0,16.0,45.0,55.0,1560.0
Glioma,29.0,15.0,56.0,34.0,513.0
Meningioma,27.0,6.0,96.0,61.0,3795.0
Metastatic,27.0,13.0,59.0,37.0,768.0
Meningioma,65.0,66.0,109.0,88.0,968.0
Metastatic,87.0,87.0,92.0,93.0,30.0
Meningioma,22.0,54.0,25.0,56.0,6.0
Meningioma,50.0,11.0,60.0,24.0,130.0
Glioma,37.0,89.0,55.0,110.0,378.0
Meningioma,35.0,86.0,57.0,112.0,572.0
Glioma,0.0,67.0,34.0,92.0,850.0
Meningioma,1.0,69.0,35.0,94.0,850.0
Meningioma,36.0,86.0,52.0,93.0,112.0
Glioma,107.0,78.0,125.0,94.0,288.0
Meningioma,74.0,67.0,134.0,122.0,3300.0
Metastatic,108.0,79.0,125.0,95.0,272.0
Meningioma,111.0,88.0,136.0,113.0,625.0
Metastatic,113.0,91.0,132.0,107.0,304.0
Glioma,32.0,37.0,55.0,49.0,276.0
Meningioma,27.0,36.0,61.0,61.0,850.0
Metastatic,33.0,40.0,49.0,50.0,160.0
Glioma,76.0,60.0,95.0,73.0,247.0
Meningioma,72.0,43.0,90.0,72.0,522.0
Metastatic,72.0,56.0,99.0,76.0,540.0
Glioma,85.0,66.0,104.0,87.0,399.0
Meningioma,55.0,64.0,130.0,114.0,3750.0
Metastatic,81.0,65.0,106.0,91.0,650.0
Meningioma,38.0,87.0,68.0,116.0,870.0
Metastatic,56.0,90.0,60.0,97.0,28.0
Glioma,30.0,15.0,67.0,53.0,1406.0
Metastatic,25.0,16.0,72.0,59.0,2021.0
Glioma,53.0,100.0,93.0,110.0,400.0
Meningioma,49.0,89.0,116.0,127.0,2546.0
Metastatic,81.0,96.0,99.0,115.0,342.0
Glioma,47.0,92.0,57.0,101.0,90.0
Meningioma,45.0,74.0,63.0,101.0,486.0
Metastatic,47.0,90.0,59.0,99.0,108.0
Glioma,36.0,17.0,82.0,64.0,2162.0
Meningioma,15.0,10.0,111.0,68.0,5568.0
Metastatic,31.0,12.0,92.0,67.0,3355.0
Glioma,12.0,71.0,53.0,113.0,1722.0
Meningioma,11.0,64.0,56.0,120.0,2520.0
Metastatic,10.0,72.0,61.0,119.0,2397.0
Meningioma,31.0,37.0,80.0,64.0,1323.0
Metastatic,36.0,43.0,53.0,59.0,272.0
Glioma,20.0,13.0,77.0,64.0,2907.0
Meningioma,5.0,7.0,95.0,72.0,5850.0
Glioma,15.0,39.0,55.0,61.0,880.0
Meningioma,0.0,13.0,118.0,108.0,11210.0
Metastatic,10.0,32.0,61.0,67.0,1785.0
Glioma,97.0,36.0,103.0,42.0,36.0
Meningioma,76.0,18.0,138.0,65.0,2914.0
Metastatic,90.0,32.0,109.0,48.0,304.0
Glioma,60.0,9.0,72.0,13.0,48.0
Glioma,0.0,9.0,63.0,95.0,5418.0
Meningioma,0.0,8.0,96.0,103.0,9120.0
Glioma,34.0,75.0,100.0,122.0,3102.0
Meningioma,27.0,53.0,113.0,130.0,6622.0
Metastatic,33.0,70.0,105.0,124.0,3888.0
Meningioma,40.0,7.0,115.0,54.0,3525.0
Glioma,41.0,42.0,46.0,46.0,20.0
Meningioma,32.0,39.0,57.0,55.0,400.0
Metastatic,48.0,41.0,49.0,45.0,4.0
Meningioma,53.0,29.0,108.0,62.0,1815.0
Meningioma,99.0,92.0,105.0,101.0,54.0
Glioma,84.0,65.0,116.0,86.0,672.0
Meningioma,71.0,64.0,138.0,111.0,3149.0
Metastatic,80.0,63.0,124.0,89.0,1144.0
Meningioma,46.0,8.0,113.0,54.0,3082.0
Glioma,95.0,31.0,99.0,34.0,12.0
Meningioma,57.0,8.0,138.0,81.0,5913.0
Metastatic,76.0,18.0,114.0,52.0,1292.0
Glioma,68.0,33.0,121.0,64.0,1643.0
Meningioma,56.0,21.0,99.0,45.0,1032.0
Metastatic,61.0,30.0,123.0,68.0,2356.0
Glioma,89.0,10.0,109.0,28.0,360.0
Meningioma,34.0,0.0,138.0,56.0,5824.0
Metastatic,88.0,3.0,111.0,29.0,598.0
Glioma,42.0,76.0,76.0,113.0,1258.0
Meningioma,30.0,62.0,90.0,119.0,3420.0
Metastatic,32.0,76.0,80.0,112.0,1728.0
Meningioma,31.0,72.0,110.0,125.0,4187.0
Glioma,11.0,35.0,58.0,69.0,1598.0
Meningioma,0.0,2.0,112.0,78.0,8512.0
Metastatic,5.0,31.0,67.0,74.0,2666.0
Glioma,107.0,99.0,121.0,108.0,126.0
Meningioma,91.0,88.0,130.0,116.0,1092.0
Metastatic,102.0,92.0,120.0,111.0,342.0
Glioma,43.0,25.0,54.0,42.0,187.0
Metastatic,40.0,28.0,60.0,49.0,420.0
Glioma,9.0,13.0,69.0,79.0,3960.0
Meningioma,9.0,18.0,69.0,81.0,3780.0
Metastatic,9.0,13.0,65.0,71.0,3248.0
Glioma,50.0,58.0,68.0,76.0,324.0
Meningioma,35.0,53.0,69.0,79.0,884.0
Metastatic,43.0,58.0,70.0,77.0,513.0
Meningioma,83.0,12.0,128.0,52.0,1800.0
Glioma,50.0,3.0,99.0,49.0,2254.0
Meningioma,35.0,0.0,122.0,70.0,6090.0
Metastatic,50.0,0.0,104.0,56.0,3024.0
Glioma,7.0,50.0,57.0,106.0,2800.0
Meningioma,0.0,25.0,92.0,121.0,8832.0
Metastatic,2.0,35.0,66.0,108.0,4672.0
Glioma,93.0,69.0,112.0,86.0,323.0
Meningioma,87.0,65.0,138.0,103.0,1938.0
Metastatic,96.0,69.0,99.0,78.0,27.0
Meningioma,87.0,65.0,127.0,87.0,880.0
Meningioma,49.0,85.0,57.0,96.0,88.0
Glioma,79.0,99.0,100.0,118.0,399.0
Meningioma,55.0,89.0,116.0,131.0,2562.0
Metastatic,77.0,94.0,103.0,122.0,728.0
Glioma,73.0,7.0,104.0,49.0,1302.0
Meningioma,48.0,0.0,129.0,53.0,4293.0
Metastatic,72.0,5.0,91.0,30.0,475.0
Glioma,17.0,23.0,50.0,59.0,1188.0
Meningioma,0.0,11.0,77.0,79.0,5236.0
Metastatic,0.0,18.0,60.0,67.0,2940.0
Meningioma,64.0,19.0,102.0,47.0,1064.0
Glioma,130.0,96.0,138.0,103.0,56.0
Meningioma,108.0,75.0,138.0,119.0,1320.0
Metastatic,129.0,94.0,137.0,102.0,64.0
Glioma,68.0,105.0,104.0,131.0,936.0
Meningioma,35.0,70.0,130.0,131.0,5795.0
Metastatic,61.0,80.0,109.0,131.0,2448.0
Glioma,46.0,4.0,95.0,44.0,1960.0
Meningioma,48.0,5.0,124.0,62.0,4332.0
Metastatic,47.0,3.0,100.0,46.0,2279.0
Meningioma,50.0,37.0,83.0,46.0,297.0
Glioma,75.0,27.0,103.0,46.0,532.0
Meningioma,45.0,20.0,137.0,56.0,3312.0
Metastatic,71.0,28.0,102.0,46.0,558.0
Glioma,29.0,60.0,51.0,79.0,418.0
Meningioma,10.0,56.0,72.0,100.0,2728.0
Metastatic,28.0,59.0,54.0,81.0,572.0
Glioma,75.0,13.0,128.0,52.0,2067.0
Meningioma,46.0,2.0,138.0,61.0,5428.0
Metastatic,75.0,12.0,129.0,57.0,2430.0
Glioma,103.0,114.0,117.0,118.0,56.0
Meningioma,98.0,101.0,127.0,125.0,696.0
Metastatic,102.0,109.0,117.0,124.0,225.0
Meningioma,40.0,100.0,66.0,122.0,572.0
Metastatic,54.0,105.0,60.0,114.0,54.0
Meningioma,53.0,70.0,101.0,105.0,1680.0
Meningioma,20.0,36.0,45.0,64.0,700.0
Glioma,80.0,8.0,109.0,31.0,667.0
Meningioma,66.0,3.0,122.0,54.0,2856.0
Metastatic,81.0,6.0,111.0,31.0,750.0
Glioma,92.0,97.0,98.0,103.0,36.0
Meningioma,32.0,68.0,112.0,131.0,5040.0
Metastatic,87.0,81.0,101.0,101.0,280.0
Glioma,46.0,32.0,55.0,39.0,63.0
Meningioma,36.0,19.0,92.0,91.0,4032.0
Metastatic,48.0,31.0,57.0,41.0,90.0
Glioma,109.0,70.0,115.0,72.0,12.0
Meningioma,98.0,68.0,127.0,86.0,522.0
Metastatic,106.0,68.0,115.0,71.0,27.0
Glioma,84.0,3.0,116.0,36.0,1056.0
Meningioma,54.0,1.0,130.0,61.0,4560.0
Metastatic,84.0,2.0,115.0,37.0,1085.0
Meningioma,61.0,25.0,108.0,65.0,1880.0
Glioma,0.0,78.0,33.0,108.0,990.0
Meningioma,0.0,58.0,74.0,123.0,4810.0
Metastatic,0.0,76.0,37.0,114.0,1406.0
Glioma,31.0,83.0,64.0,111.0,924.0
Meningioma,30.0,80.0,74.0,116.0,1584.0
Glioma,13.0,30.0,49.0,63.0,1188.0
Meningioma,55.0,23.0,101.0,48.0,1150.0
Metastatic,9.0,25.0,53.0,67.0,1848.0
Glioma,5.0,65.0,43.0,90.0,950.0
Meningioma,2.0,61.0,68.0,105.0,2904.0
Metastatic,21.0,65.0,50.0,89.0,696.0
Glioma,64.0,37.0,100.0,61.0,864.0
Meningioma,32.0,10.0,130.0,69.0,5782.0
Metastatic,59.0,33.0,111.0,64.0,1612.0
Meningioma,52.0,102.0,63.0,109.0,77.0
Glioma,22.0,61.0,24.0,64.0,6.0
Meningioma,0.0,15.0,61.0,80.0,3965.0
Metastatic,7.0,45.0,33.0,75.0,780.0
Glioma,80.0,73.0,124.0,107.0,1496.0
Meningioma,70.0,56.0,138.0,125.0,4692.0
Metastatic,78.0,68.0,138.0,116.0,2880.0
Glioma,77.0,71.0,116.0,101.0,1170.0
Meningioma,58.0,70.0,115.0,106.0,2052.0
Glioma,115.0,90.0,138.0,118.0,644.0
Meningioma,67.0,80.0,138.0,131.0,3621.0
Metastatic,114.0,91.0,138.0,120.0,696.0
Glioma,9.0,49.0,65.0,85.0,2016.0
Meningioma,0.0,47.0,76.0,98.0,3876.0
Glioma,90.0,109.0,109.0,129.0,380.0
Meningioma,84.0,102.0,120.0,131.0,1044.0
Metastatic,89.0,111.0,110.0,130.0,399.0
Glioma,40.0,21.0,88.0,49.0,1344.0
Meningioma,31.0,15.0,119.0,75.0,5280.0
Meningioma,62.0,64.0,138.0,115.0,3876.0
Glioma,24.0,32.0,63.0,54.0,858.0
Meningioma,22.0,20.0,56.0,37.0,578.0
Glioma,77.0,43.0,91.0,58.0,210.0
Meningioma,66.0,28.0,115.0,67.0,1911.0
Metastatic,74.0,38.0,98.0,64.0,624.0
Glioma,39.0,22.0,87.0,44.0,1056.0
Meningioma,31.0,19.0,113.0,59.0,3280.0
Glioma,50.0,94.0,56.0,100.0,36.0
Meningioma,48.0,90.0,72.0,106.0,384.0
Meningioma,71.0,13.0,108.0,58.0,1665.0
Meningioma,45.0,95.0,51.0,107.0,72.0
Glioma,1.0,72.0,86.0,110.0,3230.0
Meningioma,11.0,65.0,102.0,111.0,4186.0
Metastatic,0.0,74.0,89.0,116.0,3738.0
Meningioma,11.0,19.0,85.0,69.0,3700.0
Metastatic,35.0,33.0,57.0,52.0,418.0
Glioma,69.0,20.0,95.0,36.0,416.0
Meningioma,48.0,4.0,116.0,52.0,3264.0
Metastatic,68.0,18.0,95.0,43.0,675.0
Glioma,74.0,0.0,76.0,1.0,2.0
Meningioma,27.0,4.0,101.0,40.0,2664.0
Metastatic,65.0,0.0,93.0,8.0,224.0
Meningioma,80.0,66.0,138.0,122.0,3248.0
Glioma,0.0,30.0,63.0,84.0,3402.0
Meningioma,19.0,10.0,93.0,92.0,6068.0
Meningioma,46.0,14.0,80.0,47.0,1122.0
Glioma,83.0,23.0,138.0,56.0,1815.0
Meningioma,81.0,14.0,138.0,93.0,4503.0
Metastatic,81.0,21.0,138.0,61.0,2280.0
Glioma,88.0,81.0,107.0,112.0,589.0
Meningioma,37.0,77.0,124.0,121.0,3828.0
Metastatic,69.0,90.0,115.0,129.0,1794.0
Glioma,25.0,26.0,88.0,68.0,2646.0
Meningioma,14.0,23.0,103.0,71.0,4272.0
Glioma,34.0,41.0,54.0,59.0,360.0
Meningioma,0.0,22.0,59.0,87.0,3835.0
Metastatic,30.0,42.0,53.0,63.0,483.0
Glioma,0.0,67.0,24.0,97.0,720.0
Meningioma,9.0,60.0,71.0,101.0,2542.0
Metastatic,0.0,66.0,39.0,99.0,1287.0
Meningioma,35.0,86.0,72.0,119.0,1221.0
Meningioma,60.0,75.0,135.0,120.0,3375.0
Glioma,53.0,71.0,123.0,125.0,3780.0
Meningioma,22.0,63.0,138.0,131.0,7888.0
Metastatic,54.0,72.0,120.0,127.0,3630.0
Glioma,32.0,29.0,67.0,81.0,1820.0
Meningioma,24.0,23.0,71.0,91.0,3196.0
Metastatic,28.0,23.0,72.0,88.0,2860.0
Meningioma,0.0,66.0,61.0,108.0,2562.0
Glioma,11.0,65.0,64.0,112.0,2491.0
Meningioma,2.0,58.0,70.0,115.0,3876.0
Metastatic,19.0,75.0,29.0,99.0,240.0
Glioma,76.0,80.0,119.0,127.0,2021.0
Meningioma,59.0,75.0,134.0,131.0,4200.0
Metastatic,72.0,76.0,117.0,129.0,2385.0
Glioma,13.0,68.0,62.0,85.0,833.0
Meningioma,7.0,63.0,74.0,95.0,2144.0
Metastatic,20.0,68.0,61.0,83.0,615.0
Glioma,76.0,24.0,83.0,34.0,70.0
Meningioma,47.0,7.0,136.0,62.0,4895.0
Metastatic,67.0,20.0,88.0,39.0,399.0
Meningioma,44.0,94.0,47.0,99.0,15.0
Meningioma,27.0,80.0,70.0,114.0,1462.0
Meningioma,44.0,12.0,79.0,36.0,840.0
Metastatic,53.0,20.0,59.0,29.0,54.0
Glioma,8.0,44.0,65.0,102.0,3306.0
Meningioma,0.0,34.0,70.0,117.0,5810.0
Metastatic,9.0,43.0,68.0,106.0,3717.0
Glioma,52.0,19.0,78.0,39.0,520.0
Meningioma,37.0,3.0,102.0,55.0,3380.0
Metastatic,48.0,5.0,80.0,41.0,1152.0
Meningioma,68.0,85.0,97.0,106.0,609.0
Meningioma,70.0,15.0,106.0,46.0,1116.0
Glioma,83.0,65.0,125.0,101.0,1512.0
Metastatic,88.0,80.0,106.0,90.0,180.0
Meningioma,44.0,83.0,65.0,101.0,378.0
Metastatic,49.0,79.0,57.0,88.0,72.0
Glioma,120.0,96.0,138.0,113.0,306.0
Meningioma,91.0,91.0,138.0,131.0,1880.0
Metastatic,119.0,96.0,128.0,113.0,153.0
Glioma,73.0,73.0,126.0,109.0,1908.0
Meningioma,66.0,52.0,138.0,125.0,5256.0
Metastatic,76.0,63.0,124.0,108.0,2160.0
Glioma,37.0,24.0,84.0,55.0,1457.0
Meningioma,19.0,2.0,103.0,79.0,6468.0
Metastatic,39.0,24.0,85.0,54.0,1380.0
Meningioma,38.0,86.0,63.0,107.0,525.0
Glioma,85.0,19.0,138.0,70.0,2703.0
Meningioma,78.0,11.0,138.0,86.0,4500.0
Metastatic,83.0,19.0,138.0,66.0,2585.0
Glioma,35.0,16.0,53.0,37.0,378.0
Meningioma,34.0,15.0,57.0,40.0,575.0
Meningioma,37.0,49.0,38.0,50.0,1.0
Glioma,0.0,67.0,59.0,109.0,2478.0
Meningioma,25.0,66.0,69.0,112.0,2024.0
Metastatic,18.0,72.0,39.0,92.0,420.0
Glioma,58.0,26.0,79.0,44.0,378.0
Meningioma,45.0,18.0,87.0,51.0,1386.0
Glioma,64.0,15.0,97.0,45.0,990.0
Meningioma,61.0,5.0,87.0,56.0,1326.0
Metastatic,61.0,14.0,102.0,49.0,1435.0
Glioma,16.0,64.0,71.0,113.0,2695.0
Meningioma,0.0,55.0,89.0,117.0,5518.0
Metastatic,16.0,64.0,72.0,115.0,2856.0
Glioma,50.0,22.0,71.0,49.0,567.0
Meningioma,31.0,5.0,84.0,46.0,2173.0
Metastatic,45.0,19.0,72.0,49.0,810.0
Glioma,90.0,67.0,131.0,94.0,1107.0
Meningioma,73.0,65.0,132.0,104.0,2301.0
Metastatic,84.0,66.0,132.0,98.0,1536.0
Glioma,0.0,71.0,27.0,110.0,1053.0
Meningioma,0.0,57.0,81.0,123.0,5346.0
Metastatic,0.0,68.0,42.0,109.0,1722.0
Glioma,50.0,0.0,92.0,40.0,1680.0
Meningioma,38.0,1.0,113.0,46.0,3375.0
Metastatic,48.0,0.0,85.0,42.0,1554.0
Meningioma,95.0,77.0,120.0,101.0,600.0
Glioma,76.0,2.0,114.0,29.0,1026.0
Meningioma,60.0,3.0,130.0,39.0,2520.0
Metastatic,77.0,1.0,115.0,27.0,988.0
Glioma,70.0,110.0,92.0,131.0,462.0
Meningioma,38.0,89.0,108.0,131.0,2940.0
Metastatic,83.0,126.0,84.0,129.0,3.0
Meningioma,80.0,17.0,102.0,34.0,374.0
Meningioma,30.0,21.0,56.0,62.0,1066.0
Glioma,37.0,30.0,60.0,47.0,391.0
Meningioma,28.0,10.0,72.0,45.0,1540.0
Metastatic,37.0,25.0,71.0,50.0,850.0
Meningioma,52.0,27.0,53.0,28.0,1.0
Meningioma,20.0,6.0,112.0,84.0,7176.0
Glioma,47.0,92.0,60.0,106.0,182.0
Meningioma,37.0,85.0,77.0,121.0,1440.0
Metastatic,45.0,87.0,67.0,110.0,506.0
Glioma,94.0,21.0,134.0,34.0,520.0
Meningioma,85.0,5.0,138.0,58.0,2809.0
Metastatic,90.0,20.0,136.0,41.0,966.0
Glioma,60.0,8.0,106.0,48.0,1840.0
Meningioma,39.0,0.0,122.0,55.0,4565.0
Metastatic,57.0,8.0,105.0,47.0,1872.0
Glioma,47.0,102.0,82.0,128.0,910.0
Meningioma,45.0,97.0,85.0,129.0,1280.0
Glioma,51.0,90.0,56.0,96.0,30.0
Meningioma,33.0,76.0,74.0,103.0,1107.0
Metastatic,46.0,73.0,60.0,96.0,322.0
Glioma,67.0,7.0,107.0,53.0,1840.0
Meningioma,41.0,4.0,130.0,63.0,5251.0
Metastatic,75.0,10.0,101.0,47.0,962.0
Glioma,41.0,89.0,68.0,116.0,729.0
Meningioma,30.0,77.0,105.0,126.0,3675.0
Metastatic,37.0,88.0,73.0,126.0,1368.0
Glioma,37.0,15.0,78.0,53.0,1558.0
Meningioma,9.0,7.0,106.0,75.0,6596.0
Glioma,0.0,67.0,37.0,93.0,962.0
Meningioma,0.0,66.0,56.0,110.0,2464.0
Metastatic,0.0,67.0,37.0,95.0,1036.0
Meningioma,32.0,84.0,78.0,126.0,1932.0
Glioma,18.0,12.0,37.0,25.0,247.0
Meningioma,0.0,8.0,58.0,52.0,2552.0
Metastatic,19.0,12.0,39.0,39.0,540.0
Glioma,69.0,30.0,84.0,42.0,180.0
Meningioma,39.0,9.0,120.0,65.0,4536.0
Meningioma,7.0,75.0,78.0,123.0,3408.0
Metastatic,26.0,90.0,62.0,107.0,612.0
Glioma,0.0,49.0,43.0,88.0,1677.0
Meningioma,0.0,27.0,59.0,117.0,5310.0
Metastatic,0.0,46.0,43.0,90.0,1892.0
Glioma,33.0,0.0,98.0,45.0,2925.0
Meningioma,28.0,3.0,103.0,47.0,3300.0
Metastatic,80.0,17.0,86.0,23.0,36.0
Meningioma,52.0,6.0,106.0,36.0,1620.0
Glioma,61.0,76.0,70.0,88.0,108.0
Meningioma,35.0,66.0,90.0,111.0,2475.0
Metastatic,54.0,72.0,76.0,98.0,572.0
Glioma,100.0,68.0,125.0,75.0,175.0
Meningioma,93.0,66.0,129.0,91.0,900.0
Metastatic,98.0,67.0,125.0,76.0,243.0
Meningioma,0.0,52.0,70.0,112.0,4200.0
Glioma,38.0,26.0,57.0,43.0,323.0
