Glioma,Meningioma,Metastatic,No Tumour,File Name,Total
1,1,1,0,volume_344_slice_70_jpg.rf.6ed0b4e85b2a031296bdbffeb50ed9ee.txt,3
1,1,1,0,volume_334_slice_75_jpg.rf.e47369b53c423b138f3e17312dc324cb.txt,3
1,1,1,0,volume_140_slice_99_jpg.rf.cfe1389bd30e65e10d9779234698948e.txt,3
1,1,1,0,volume_181_slice_90_jpg.rf.edea60ccbc15b745ecdf10c23aa885bd.txt,3
0,1,0,0,volume_345_slice_60_jpg.rf.7aa8a145b6373981461774c552cba0d3.txt,1
0,1,0,0,volume_115_slice_135_jpg.rf.b65bdaca2cebddcd57b4dcc133107700.txt,1
1,1,1,0,volume_178_slice_82_jpg.rf.5b22253f638fb336dd0f1c23ed15dc85.txt,3
1,1,1,0,volume_296_slice_82_jpg.rf.12a0110c229633cf048b4aef7fa6db78.txt,3
1,1,1,0,volume_76_slice_91_jpg.rf.ebbcc4f8d29cac3a6cc80676862d87de.txt,3
1,1,1,0,volume_241_slice_78_jpg.rf.d6bde65bd6dd8c4830e4efcce326d80b.txt,3
1,1,1,0,volume_224_slice_87_jpg.rf.f06349206cb4591c167e438815df1f16.txt,3
1,1,0,0,volume_133_slice_105_jpg.rf.ddc665bb8f5860b50db808bc33fb3d51.txt,2
1,1,1,0,volume_320_slice_100_jpg.rf.c57bbd192463d08c6753969cad76f1bc.txt,3
0,1,0,0,volume_339_slice_124_jpg.rf.7e595c66641ca78c9b9cdb398df9cc38.txt,1
0,1,0,0,volume_40_slice_74_jpg.rf.697e2cd7e2fe32c38ff4249a4d2c82e2.txt,1
1,1,0,0,volume_279_slice_66_jpg.rf.20a7ce68608d18eb3c0091e189c0a042.txt,2
1,1,0,0,volume_297_slice_104_jpg.rf.c00a30452c1432a6641174bf67a2c687.txt,2
1,1,1,0,volume_13_slice_82_jpg.rf.57cea545dc5efaa9f42e269ef30df9eb.txt,3
1,0,1,0,volume_326_slice_93_jpg.rf.5c745d4c35226e77f69fd69024088a15.txt,2
1,1,1,0,volume_139_slice_101_jpg.rf.31d3cd8ee18c5c7c37cee5bcfd003be0.txt,3
0,1,0,0,volume_19_slice_38_jpg.rf.25eb089a8ff6b9c558b2393fa243e58c.txt,1
1,1,0,0,volume_269_slice_93_jpg.rf.f4cca3ce59e5f501808db24ce72d67d8.txt,2
1,1,1,0,volume_191_slice_75_jpg.rf.0b9ca2754ef5979d3f358cee516be3cc.txt,3
0,1,1,0,volume_369_slice_60_jpg.rf.7780e1000c484470350922c2f1b20885.txt,2
0,1,0,0,volume_313_slice_70_jpg.rf.4f067945898d79cb93be208daf56787b.txt,1
1,1,1,0,volume_75_slice_57_jpg.rf.71aef535b26f01cffb5773595bab3243.txt,3
1,1,1,0,volume_112_slice_46_jpg.rf.029e38346c52e54412bcde748d63d108.txt,3
1,1,1,0,volume_78_slice_62_jpg.rf.89218bf9c4468896801019488b82d663.txt,3
1,1,1,0,volume_108_slice_47_jpg.rf.d88d5c41d8bcb4139f6b50d6ed23f8ec.txt,3
0,1,0,0,volume_59_slice_38_jpg.rf.d21d3edc81281c97ce3bd1b0d57b3ff1.txt,1
1,1,1,0,volume_138_slice_84_jpg.rf.1d876600b8a3c2aa18438003a05fab2d.txt,3
1,1,0,0,volume_306_slice_99_jpg.rf.e31f3681487b38f604df334359b81809.txt,2
1,1,1,0,volume_74_slice_82_jpg.rf.9817c57dd8c07197c2f5994bd2fdf277.txt,3
1,1,1,0,volume_133_slice_65_jpg.rf.0c9fcf984cfd04628f86372a717c7ed3.txt,3
1,1,0,0,volume_303_slice_128_jpg.rf.1802f70b96f55b5b67826a67be8e40de.txt,2
1,1,1,0,volume_293_slice_103_jpg.rf.4772a83036e934039f4834118e317bcf.txt,3
1,1,1,0,volume_2_slice_50_jpg.rf.c601550ae2985593b05d34caf873f746.txt,3
0,1,1,0,volume_110_slice_115_jpg.rf.2e134fa000b168d4fb5511523d7368fd.txt,2
0,1,0,0,volume_21_slice_84_jpg.rf.f53db6d98f2199d47b1e58f9ca33131e.txt,1
0,1,0,0,volume_89_slice_28_jpg.rf.9cd098d2a66662c17e2768227f74407e.txt,1
1,1,0,0,volume_322_slice_29_jpg.rf.18a3822d1d05c85786d93d289a5e0367.txt,2
1,1,0,0,volume_286_slice_88_jpg.rf.461a06d37f7cf325ed90dabd2de06949.txt,2
0,1,0,0,volume_335_slice_108_jpg.rf.01af233eaeb64059409703a890f4e746.txt,1
1,1,1,0,volume_201_slice_105_jpg.rf.00903840e97195ce2a10a3313746f668.txt,3
0,1,1,0,volume_356_slice_99_jpg.rf.ee50e0ae9b94edf5baabeb646dba76bf.txt,2
1,1,1,0,volume_295_slice_105_jpg.rf.24844d94de1b5cd6ad349f6deb19685a.txt,3
1,1,1,0,volume_82_slice_63_jpg.rf.a79225b769e5a475b8bcbb28a3b5682f.txt,3
1,1,1,0,volume_57_slice_109_jpg.rf.a9127f5d4dcb8e8825fbe835b6035f86.txt,3
0,1,1,0,volume_165_slice_35_jpg.rf.5a32fc76db5c0298fbd991510649b1ae.txt,2
1,0,1,0,volume_64_slice_39_jpg.rf.63f438f5b801ea7d41123041772f207a.txt,2
1,1,1,0,volume_7_slice_64_jpg.rf.7e7805a6daaf16b042ff9141eba41d0c.txt,3
1,1,1,0,volume_47_slice_120_jpg.rf.19071298dee8b67ad5f65f0b0164d1fa.txt,3
1,1,1,0,volume_270_slice_83_jpg.rf.bc42cd744b3b914f41a7303ff569e8d9.txt,3
1,1,1,0,volume_143_slice_62_jpg.rf.b8a8ca81cf0d9a004b82e9fe2ba0176d.txt,3
0,1,1,0,volume_115_slice_130_jpg.rf.7f3cb7c56eade0b0037f3fbe0e1c5058.txt,2
1,1,0,0,volume_291_slice_78_jpg.rf.9aee314bf6481318718de389d45202ea.txt,2
1,1,1,0,volume_369_slice_104_jpg.rf.6119b6b3d66a20a32a79e2e605d8f50a.txt,3
1,1,1,0,volume_337_slice_75_jpg.rf.fcc85ec0db123e3011398c499697fb78.txt,3
1,0,0,0,volume_302_slice_99_jpg.rf.2fda3368aabc5518a24a451b4709121c.txt,1
1,1,0,0,volume_328_slice_88_jpg.rf.57c8b9a929e247188b3189629e91c896.txt,2
1,1,1,0,volume_238_slice_61_jpg.rf.4ae9ffec19f3e1af7c59963b61e9d285.txt,3
0,1,0,0,volume_93_slice_81_jpg.rf.41da42103d7be7ddf9fa2da1760f66e3.txt,1
1,1,1,0,volume_295_slice_100_jpg.rf.dbe875f0aa7a6f673d21e3751bd44f5d.txt,3
0,1,0,0,volume_225_slice_130_jpg.rf.c7a2dbc2ab4a1514c63471da319f9d96.txt,1
0,1,0,0,volume_361_slice_71_jpg.rf.5ebf68f558b81c5eb34785ebb04fe947.txt,1
1,1,1,0,volume_31_slice_106_jpg.rf.c67ce7c889c7d7dc8b69b30596d84c8e.txt,3
0,1,0,0,volume_93_slice_83_jpg.rf.d189239c246a926acfbec1edf9f3cc6b.txt,1
1,1,1,0,volume_225_slice_72_jpg.rf.aa7101ce0b1f7ebaad58f25438e22b0f.txt,3
1,1,1,0,volume_346_slice_100_jpg.rf.5fcc9557bcc09a76f8f4bbfd0f8905e5.txt,3
0,0,0,1,volume_106_slice_39_jpg.rf.df75e5a2fd201892e7808a78f5426886.txt,0
1,1,1,0,volume_243_slice_66_jpg.rf.cc2fabefc4d88ffc07f241715c35f372.txt,3
1,1,1,0,volume_150_slice_55_jpg.rf.8b2a9c4bb5f52ae5449cb9dc4a67d3d7.txt,3
0,1,0,0,volume_240_slice_83_jpg.rf.b11c986d3da4ab52273b92f13b48c3b1.txt,1
1,1,1,0,volume_241_slice_88_jpg.rf.cb32a064d8e727cf0fc921cee242463c.txt,3
1,1,1,0,volume_139_slice_96_jpg.rf.36f4ff0337ca3dfcb1d480969eb1b478.txt,3
1,0,1,0,volume_64_slice_30_jpg.rf.7933ac122fb6163038da3469e9b68198.txt,2
1,1,1,0,volume_274_slice_112_jpg.rf.6560c56f1625e618755f57e97be10207.txt,3
1,1,1,0,volume_120_slice_74_jpg.rf.d3c4d78ea03beb8f96e7aefd1ee32bd7.txt,3
0,1,0,0,volume_244_slice_109_jpg.rf.50c5d1893010010627ebf709adf07022.txt,1
1,1,1,0,volume_354_slice_79_jpg.rf.70a472e8d056857fdbffcb554fe44531.txt,3
1,1,1,0,volume_175_slice_72_jpg.rf.590fea34125e95d2066b1eecb173a705.txt,3
1,1,1,0,volume_361_slice_82_jpg.rf.48797b3618c34d0a4011ae89d61ee707.txt,3
0,1,0,0,volume_85_slice_117_jpg.rf.0bd3367ed74ac3c931a0b69cee187330.txt,1
0,1,0,0,volume_147_slice_43_jpg.rf.64b76b7eaf5fdde20046f534b449decd.txt,1
1,1,1,0,volume_7_slice_54_jpg.rf.84e868158d75f8ccffc85febf60008d6.txt,3
1,1,1,0,volume_113_slice_82_jpg.rf.d68a416f049a606e0bcf33344e32a710.txt,3
1,1,1,0,volume_349_slice_101_jpg.rf.395d163a8bf97b18b8c70655a3b7a4c6.txt,3
0,1,0,0,volume_14_slice_81_jpg.rf.f216217b13a1e4fee69a0a07c85844ba.txt,1
1,1,1,0,volume_314_slice_99_jpg.rf.049c7fc70aa0ee741059004a09acd273.txt,3
1,1,1,0,volume_123_slice_58_jpg.rf.3b069f767de9604b1bba738bbb9eddbb.txt,3
1,1,1,0,volume_100_slice_85_jpg.rf.436cfc5a4d6d13335ba66e170d9493ec.txt,3
0,1,0,0,volume_184_slice_102_jpg.rf.29cbb809664bf1cb2d3738d64966d078.txt,1
1,1,1,0,volume_78_slice_54_jpg.rf.99fdb52e18808bf3c24f9d39265369b3.txt,3
1,1,1,0,volume_114_slice_111_jpg.rf.3004bf321710094c9e80332c49564e1c.txt,3
1,1,1,0,volume_137_slice_69_jpg.rf.079ce3946e4a09ab67cbeae3e38fe93d.txt,3
1,1,1,0,volume_233_slice_77_jpg.rf.df7dcbd670b73282bdf2a12a215895e0.txt,3
0,1,1,0,volume_280_slice_101_jpg.rf.0078635d8d93c6b88b448ab00491c040.txt,2
0,1,0,0,volume_110_slice_106_jpg.rf.1563e72093f438b1f628839bc7199c1e.txt,1
0,1,0,0,volume_349_slice_121_jpg.rf.1d78a075482944b1425335c4e4d8212e.txt,1
0,0,0,1,volume_156_slice_99_jpg.rf.e0d4b9e1099e5e82068e9dd8d7be5d5a.txt,0
1,1,1,0,volume_257_slice_78_jpg.rf.71a3ee6d385e37c4fcf0984819a293e9.txt,3
1,1,1,0,volume_58_slice_61_jpg.rf.a46ffd2319623cfc3bc51db080380ec7.txt,3
1,1,1,0,volume_105_slice_64_jpg.rf.df525b9b5630cff417c28ba787ce054e.txt,3
1,1,1,0,volume_63_slice_74_jpg.rf.2db2801a6c667e9cc1d9e7186092775e.txt,3
1,1,1,0,volume_53_slice_78_jpg.rf.2440b849e447a1862ba716494c0a3568.txt,3
0,1,0,0,volume_16_slice_122_jpg.rf.1c50c7221e96d8df6466d8b785d5be91.txt,1
1,1,1,0,volume_121_slice_81_jpg.rf.1e4b324a859bce031af2ff3104d29abd.txt,3
1,1,0,0,volume_330_slice_51_jpg.rf.2948f7c12ebd3a10553dfece42da2cf2.txt,2
1,1,1,0,volume_342_slice_110_jpg.rf.74547c798d38abadd38b8783bd4036e1.txt,3
1,1,1,0,volume_71_slice_118_jpg.rf.f28f7964f1257f825afd5f04fa964672.txt,3
1,1,1,0,volume_125_slice_92_jpg.rf.ae821dd1c2c5cd9a67c9f9a42df26fee.txt,3
0,1,0,0,volume_117_slice_41_jpg.rf.d12fcabb226e3bc0537ad47975676a2b.txt,1
1,1,1,0,volume_223_slice_73_jpg.rf.6720991f3aab31be2ad1df5ac1722bd3.txt,3
1,1,1,0,volume_221_slice_85_jpg.rf.5af6f6629c1cde24256279d9f27cbfe4.txt,3
1,0,0,0,volume_326_slice_59_jpg.rf.11ac158b28b88ad46b4c34a7b99c882e.txt,1
0,1,0,0,volume_31_slice_58_jpg.rf.9875166ed3ed67aeca6fc259b3e861b3.txt,1
1,1,1,0,volume_232_slice_48_jpg.rf.f672a77d25eb1b2c754edc48ac2643ed.txt,3
1,1,0,0,volume_312_slice_105_jpg.rf.c6672115653cff37f4d617b48048bf71.txt,2
1,1,1,0,volume_317_slice_70_jpg.rf.653bdfca98a56d8f16bce6361a933a1a.txt,3
1,1,0,0,volume_281_slice_81_jpg.rf.d4e9cce7fecccec6904a1d09368ca33b.txt,2
0,1,0,0,volume_67_slice_73_jpg.rf.654c37e7c33b9f005af6cad88dd523a7.txt,1
1,1,0,0,volume_324_slice_46_jpg.rf.4cc94cc6ec06b267a787b53e0db4b22f.txt,2
1,1,1,0,volume_90_slice_87_jpg.rf.08cabcdadb210e6ca9452a9d3ddd4be4.txt,3
1,1,0,0,volume_281_slice_72_jpg.rf.521101405db3076034776f9a8c7d58af.txt,2
1,1,0,0,volume_330_slice_86_jpg.rf.18805379d8402cb5f6497c690d2f1586.txt,2
0,1,0,0,volume_334_slice_94_jpg.rf.f2caf3944efe71a7d3f17309a5573619.txt,1
0,1,0,0,volume_186_slice_37_jpg.rf.cdfbaeda0994df584164b40485371065.txt,1
1,1,1,0,volume_106_slice_96_jpg.rf.be0494c52630c25ef399ab231372038a.txt,3
0,1,1,0,volume_62_slice_114_jpg.rf.906d1c5f49589a58f6ea618559175c57.txt,2
1,1,1,0,volume_343_slice_83_jpg.rf.a50ab20cfe97e67660367e2c471e6017.txt,3
1,1,1,0,volume_112_slice_39_jpg.rf.6a10426b515f486f10eeae3685e09d3b.txt,3
0,1,0,0,volume_201_slice_61_jpg.rf.f761dec4fbfe70638623ddb82ea9b743.txt,1
1,1,0,0,volume_328_slice_61_jpg.rf.c7f268b4cf7eee2d9b4e5e89d901f566.txt,2
0,1,0,0,volume_176_slice_78_jpg.rf.6e2a0531683a1a9ea86fd022dcfbfbe9.txt,1
1,1,1,0,volume_247_slice_61_jpg.rf.5791eed2b25353372626a25f5ef1af4c.txt,3
1,1,1,0,volume_58_slice_81_jpg.rf.d7084a9a8ee708819a4951c42b4b3b31.txt,3
1,1,0,0,volume_313_slice_114_jpg.rf.1b9aa9d8d4a0307dbc21ca23f25e7d89.txt,2
1,1,1,0,volume_30_slice_91_jpg.rf.c545c7924a2f7bd592d5451592c81fe9.txt,3
1,1,1,0,volume_151_slice_65_jpg.rf.c30edec96eeaec43f7e7239b213e3ef2.txt,3
0,1,0,0,volume_275_slice_39_jpg.rf.e99689c076c97921860224063dbccd18.txt,1
0,1,0,0,volume_155_slice_99_jpg.rf.9d4fd1dd6dc4386d304e2ddc51574e98.txt,1
1,1,1,0,volume_149_slice_67_jpg.rf.1cacae321eb89a37f34520102413b8cd.txt,3
1,1,1,0,volume_92_slice_94_jpg.rf.8a8d42128274f73fba11ea4332802b53.txt,3
0,1,0,0,volume_301_slice_60_jpg.rf.98589df8e1410e35da177a012145cbea.txt,1
1,1,1,0,volume_234_slice_49_jpg.rf.6e8dce5857f0d8e193d54a877dd229ae.txt,3
1,1,1,0,volume_255_slice_82_jpg.rf.e32f11e7a212fe38fa58cbc1192ff823.txt,3
1,1,1,0,volume_261_slice_117_jpg.rf.6fe6fde225e0a251aaa8b4b531d86b93.txt,3
1,1,1,0,volume_188_slice_61_jpg.rf.e0aa43e54aec75169e701a8ecf011c62.txt,3
0,1,0,0,volume_165_slice_24_jpg.rf.3f449b77aec5988ee1aea9b22f1c0adb.txt,1
0,1,0,0,volume_182_slice_74_jpg.rf.26cf4048478b07e6a84c1817a49d008c.txt,1
0,1,1,0,volume_126_slice_101_jpg.rf.96d6e9df6bed96f744f83f228679e608.txt,2
1,1,1,0,volume_47_slice_73_jpg.rf.0e3d8720e9b1835d5aae89408ecb1f46.txt,3
1,1,1,0,volume_198_slice_79_jpg.rf.8c7c23a1ab721c83b4025175fcb7a034.txt,3
0,1,0,0,volume_296_slice_94_jpg.rf.88a999bdd32245437983e1495970744a.txt,1
0,1,0,0,volume_166_slice_118_jpg.rf.c35b33eddf94c3f05abf5271c362b6d6.txt,1
1,0,1,0,volume_326_slice_66_jpg.rf.d60e45060aaac8727fba667e7e7b3f8e.txt,2
0,1,1,0,volume_174_slice_63_jpg.rf.8080e0920bed98e9d2da10d598676a60.txt,2
1,1,1,0,volume_277_slice_85_jpg.rf.a6a3b7861f2dfb2d59c9869df18a7951.txt,3
1,1,1,0,volume_221_slice_81_jpg.rf.c5f65c6e94424515c7d805c37978c321.txt,3
1,1,1,0,volume_237_slice_67_jpg.rf.ac8db8ccb232d948c22c1093754800c5.txt,3
0,1,0,0,volume_46_slice_31_jpg.rf.73abe9b8cfe84e209b02227359179837.txt,1
1,1,1,0,volume_247_slice_79_jpg.rf.ca8a47fa88bf8fbc58ece70088420c7a.txt,3
1,1,0,0,volume_294_slice_28_jpg.rf.aa12ffa41efd111124c5b9069090fa11.txt,2
0,1,0,0,volume_342_slice_125_jpg.rf.43859a7a36703bb5aebf093f30439f46.txt,1
1,1,1,0,volume_300_slice_105_jpg.rf.e6aa0accf251a07b61a824022ff37de1.txt,3
1,1,0,0,volume_271_slice_91_jpg.rf.96408da1cfa268ec8374e73f92eaf1a0.txt,2
1,1,1,0,volume_111_slice_70_jpg.rf.6b2292d4fb334552b21e2817b8cdb9db.txt,3
1,1,1,0,volume_75_slice_87_jpg.rf.7018c2abe66ec11b86232f18baf91266.txt,3
1,1,1,0,volume_211_slice_43_jpg.rf.a6ca3019a612da59bf0f92e15eabdbee.txt,3
1,1,1,0,volume_248_slice_103_jpg.rf.85dcdd95de6d3f6f6a24e1daa407250c.txt,3
1,1,1,0,volume_151_slice_89_jpg.rf.2aea703865b03f25b52a4a578599991f.txt,3
1,1,1,0,volume_288_slice_46_jpg.rf.1ff88416e116915fc3dbaddd39022eb0.txt,3
0,1,0,0,volume_131_slice_124_jpg.rf.0c8b4010285cef8fd0605eda40c3914b.txt,1
1,1,1,0,volume_50_slice_47_jpg.rf.b857f3c2829893b164ad9263b873721b.txt,3
1,1,1,0,volume_17_slice_59_jpg.rf.d16d310f081c0face12ca39b22ab681a.txt,3
0,1,0,0,volume_268_slice_67_jpg.rf.eaa7cb5295f845a67d6c8ab6c217b1de.txt,1
0,1,0,0,volume_320_slice_67_jpg.rf.82c7d28da28522fdafac849dbaedd75b.txt,1
1,1,1,0,volume_338_slice_50_jpg.rf.0d1d305d33e17d236fea98308eda4dad.txt,3
0,1,0,0,volume_130_slice_29_jpg.rf.5b8dc38c6d7b961a5a0f87bcf1b0a1d4.txt,1
0,1,0,0,volume_1_slice_90_jpg.rf.6b759f7e590bd8b93f46e7293e490480.txt,1
1,1,1,0,volume_242_slice_63_jpg.rf.1cb769a1c5b6e9a9dbb6334a39a881e3.txt,3
1,1,1,0,volume_38_slice_58_jpg.rf.2d5f59c4eff74f07374201257ee6224e.txt,3
1,1,1,0,volume_343_slice_75_jpg.rf.66dd31e3962b211a48e05157094b5f35.txt,3
1,1,0,0,volume_299_slice_66_jpg.rf.c981455d7bab3fe9113e57a3c38f40c4.txt,2
1,1,1,0,volume_174_slice_71_jpg.rf.dbe7b0a18d9e6c920dc1bf65cb69181f.txt,3
1,1,1,0,volume_16_slice_90_jpg.rf.bfda071e47cf8d63d2ec57dc60e37aa9.txt,3
1,1,1,0,volume_27_slice_66_jpg.rf.492c367330cd62f93ad3d1cdaf29f3b4.txt,3
1,1,0,0,volume_289_slice_85_jpg.rf.775917261f76f4a0452194add966374a.txt,2
1,1,1,0,volume_148_slice_97_jpg.rf.f7f9849ee9998138ac671b23a3a3e0b6.txt,3
0,1,0,0,volume_280_slice_85_jpg.rf.bfa86a002281e895482405337450ab5b.txt,1
1,1,1,0,volume_320_slice_84_jpg.rf.f561d06e1ee3681b42477878a850fa94.txt,3
1,1,0,0,volume_281_slice_94_jpg.rf.434250893eb4783b17a1c53260a7bb94.txt,2
0,1,1,0,volume_163_slice_74_jpg.rf.d90b217e34f1553e1e519b72ec7e7c5c.txt,2
1,1,1,0,volume_40_slice_50_jpg.rf.6ba0bd435b690ddafba846c406e07ed4.txt,3
1,1,1,0,volume_302_slice_72_jpg.rf.d54869f56c9458ab429f4077c470f6bc.txt,3
0,1,0,0,volume_113_slice_50_jpg.rf.b57df4da3fa387c3bdd302f17c4b1c53.txt,1
1,1,1,0,volume_22_slice_109_jpg.rf.817aebbdc9082a759393d4fc548cf387.txt,3
1,1,1,0,volume_63_slice_87_jpg.rf.5313b97dff65ba5885dea1a1060206b7.txt,3
0,1,0,0,volume_301_slice_79_jpg.rf.220268e6e44fd6e1fc728f9e9ceb48bb.txt,1
1,1,1,0,volume_105_slice_56_jpg.rf.3b85ed57cd62269c304c941f4da4e84c.txt,3
1,1,1,0,volume_119_slice_62_jpg.rf.d69bd020b889cc33bb7f60822517010b.txt,3
1,1,1,0,volume_171_slice_97_jpg.rf.df0ffef29283ffe8ca86a2f7f56c53ad.txt,3
0,1,0,0,volume_99_slice_64_jpg.rf.eacf332e9d9191bc2bf06dd7d8f89839.txt,1
0,1,0,0,volume_141_slice_88_jpg.rf.4158f362e54fe9fae894b35780ce5de6.txt,1
0,1,0,0,volume_17_slice_44_jpg.rf.4c3835c76a488f04f710e1aafa0ae3f5.txt,1
0,0,0,1,volume_51_slice_138_jpg.rf.3dd10a466ac2f2e7a762ce4f2a0bfd2c.txt,0
1,1,1,0,volume_246_slice_85_jpg.rf.bfc790bb79660bc15363913b6aba93d8.txt,3
0,1,0,0,volume_35_slice_27_jpg.rf.524b676fe0025e283895d83db8b59ff4.txt,1
0,1,0,0,volume_226_slice_80_jpg.rf.3a8155203ac8680dd0bdcb6c0dfffb0f.txt,1
1,1,1,0,volume_58_slice_85_jpg.rf.0d23284f6ff89236e2e266f59f681014.txt,3
1,1,1,0,volume_97_slice_63_jpg.rf.8631334212e08172009298c1cbe66447.txt,3
1,1,1,0,volume_161_slice_85_jpg.rf.8ac53b66c675d51c39b5ab87d8533b56.txt,3
1,1,1,0,volume_48_slice_50_jpg.rf.01eb4f6c5df4a198ffa3ab41c820cb90.txt,3
0,1,1,0,volume_188_slice_54_jpg.rf.8851d800103fcfc73aac0f43808c34af.txt,2
0,1,0,0,volume_93_slice_75_jpg.rf.514c72170bca65f105d1ace9b6ca2cb6.txt,1
1,1,1,0,volume_369_slice_75_jpg.rf.39d3fd6cce2d66a1265cd80b127e0882.txt,3
1,1,1,0,volume_323_slice_70_jpg.rf.bf65707ac48f8f27cf120ff26821bcc2.txt,3
1,1,0,0,volume_263_slice_100_jpg.rf.b8cfd1f40ac417bf890979dca43f8609.txt,2
1,1,1,0,volume_40_slice_58_jpg.rf.01cf42651f61046a876f9618f43d5731.txt,3
0,1,0,0,volume_368_slice_63_jpg.rf.c895e1d6466432cd87a4bb9bc5bd6d02.txt,1
1,1,1,0,volume_133_slice_70_jpg.rf.65b7c5d74ffcacf46186b8da2c94e453.txt,3
1,1,1,0,volume_218_slice_46_jpg.rf.f011ad8469a657ee000dcb2b8e6f6019.txt,3
0,1,1,0,volume_172_slice_64_jpg.rf.026e8d04973246443479078c3c127130.txt,2
1,1,1,0,volume_257_slice_79_jpg.rf.35b3922b30fdff404081c296ae4e6c5c.txt,3
1,1,1,0,volume_192_slice_82_jpg.rf.ed9767b45defb2cf5e47ee85019eb041.txt,3
0,1,0,0,volume_11_slice_89_jpg.rf.ff72cadae5e7e7dc1af91d785bf25054.txt,1
1,1,0,0,volume_297_slice_94_jpg.rf.f6ca1ebe58ae84e7bb6627fe38d89361.txt,2
1,1,1,0,volume_353_slice_41_jpg.rf.033547069f49c8c81f9a413cfbf08134.txt,3
1,1,1,0,volume_23_slice_104_jpg.rf.5d92c8d61c2f34d352199445f6fb5893.txt,3
1,1,1,0,volume_74_slice_99_jpg.rf.f5152ff8f2e7a31fa34316333d314c0a.txt,3
